month,lat,lng,sla_bucket,orders
2026-03,12.93,77.73,NonQuickDelivery,21
2026-03,12.96,77.49,NonQuickDelivery,20
2026-03,12.9,77.52,NonQuickDelivery,20
2026-03,12.855,77.595,NonQuickDelivery,20
2026-03,12.84,77.685,NonQuickDelivery,20
2026-03,12.87,77.625,QuickDelivery,20
2026-03,12.87,77.535,NonQuickDelivery,19
2026-03,13.065,77.625,NonQuickDelivery,19
2026-03,12.87,77.55,NonQuickDelivery,19
2026-03,12.825,77.655,NonQuickDelivery,18
2026-03,12.93,77.52,NonQuickDelivery,18
2026-03,13.05,77.49,NonQuickDelivery,17
2026-03,12.945,77.745,NonQuickDelivery,17
2026-03,12.915,77.49,NonQuickDelivery,17
2026-03,13.035,77.715,NonQuickDelivery,17
2026-03,12.825,77.67,NonQuickDelivery,17
2026-03,12.93,77.505,NonQuickDelivery,16
2026-03,12.9,77.55,NonQuickDelivery,16
2026-03,12.99,77.49,NonQuickDelivery,16
2026-03,12.93,77.655,QuickDelivery,16
2026-03,12.96,77.685,NonQuickDelivery,15
2026-03,13.05,77.52,NonQuickDelivery,15
2026-03,13.005,77.745,NonQuickDelivery,14
2026-03,13.095,77.595,NonQuickDelivery,14
2026-03,12.945,77.49,NonQuickDelivery,14
2026-03,12.975,77.49,NonQuickDelivery,14
2026-03,13.005,77.73,NonQuickDelivery,13
2026-03,12.87,77.565,NonQuickDelivery,13
2026-03,12.975,77.475,NonQuickDelivery,13
2026-03,13.005,77.505,NonQuickDelivery,13
2026-03,12.93,77.715,NonQuickDelivery,12
2026-03,12.96,77.76,NonQuickDelivery,12
2026-03,12.96,77.67,NonQuickDelivery,11
2026-03,12.915,77.715,NonQuickDelivery,11
2026-03,12.99,77.52,NonQuickDelivery,11
2026-03,12.825,77.685,NonQuickDelivery,11
2026-03,13.005,77.49,NonQuickDelivery,10
2026-03,13.035,77.535,NonQuickDelivery,10
2026-03,12.99,77.505,NonQuickDelivery,10
2026-03,12.885,77.685,QuickDelivery,10
2026-03,13.02,77.49,NonQuickDelivery,9
2026-03,12.945,77.73,NonQuickDelivery,9
2026-03,12.855,77.535,NonQuickDelivery,9
2026-03,12.945,77.505,NonQuickDelivery,9
2026-03,12.885,77.535,NonQuickDelivery,9
2026-03,12.99,77.475,NonQuickDelivery,8
2026-03,12.855,77.61,NonQuickDelivery,8
2026-03,12.855,77.565,NonQuickDelivery,8
2026-03,13.035,77.49,NonQuickDelivery,8
2026-03,12.915,77.475,NonQuickDelivery,8
2026-03,12.9,77.505,NonQuickDelivery,7
2026-03,13.08,77.61,NonQuickDelivery,6
2026-03,13.095,77.565,NonQuickDelivery,6
2026-03,12.945,77.475,NonQuickDelivery,6
2026-03,12.945,77.655,NonQuickDelivery,6
2026-03,12.96,77.475,NonQuickDelivery,6
2026-03,12.87,77.52,NonQuickDelivery,6
2026-03,13.08,77.58,NonQuickDelivery,5
2026-03,12.93,77.475,NonQuickDelivery,5
2026-03,12.84,77.7,NonQuickDelivery,5
2026-03,13.08,77.595,NonQuickDelivery,5
2026-03,13.02,77.73,NonQuickDelivery,5
2026-03,12.945,77.67,NonQuickDelivery,5
2026-03,12.945,77.76,NonQuickDelivery,5
2026-03,12.855,77.64,NonQuickDelivery,5
2026-03,13.11,77.58,NonQuickDelivery,4
2026-03,12.81,77.685,NonQuickDelivery,4
2026-03,12.87,77.685,NonQuickDelivery,4
2026-03,13.08,77.565,NonQuickDelivery,4
2026-03,12.915,77.73,NonQuickDelivery,4
2026-03,12.84,77.625,NonQuickDelivery,3
2026-03,12.81,77.67,NonQuickDelivery,3
2026-03,12.825,77.7,NonQuickDelivery,3
2026-04,12.915,77.64,QuickDelivery,366
2026-04,12.9,77.64,QuickDelivery,279
2026-04,12.915,77.61,QuickDelivery,259
2026-04,12.93,77.61,QuickDelivery,242
2026-04,12.945,77.625,QuickDelivery,180
2026-04,12.96,77.715,NonQuickDelivery,177
2026-04,12.93,77.625,QuickDelivery,176
2026-04,12.93,77.67,QuickDelivery,174
2026-04,12.915,77.625,QuickDelivery,167
2026-04,12.93,77.64,QuickDelivery,147
2026-04,12.96,77.58,NonQuickDelivery,143
2026-04,12.915,77.655,QuickDelivery,140
2026-04,12.975,77.64,NonQuickDelivery,138
2026-04,12.9,77.625,QuickDelivery,137
2026-04,13.005,77.565,NonQuickDelivery,132
2026-04,13.035,77.61,NonQuickDelivery,129
2026-04,12.93,77.535,NonQuickDelivery,128
2026-04,12.9,77.655,QuickDelivery,128
2026-04,12.975,77.625,NonQuickDelivery,120
2026-04,12.99,77.685,NonQuickDelivery,118
2026-04,13.035,77.595,NonQuickDelivery,117
2026-04,12.885,77.64,QuickDelivery,113
2026-04,12.945,77.7,QuickDelivery,107
2026-04,12.9,77.61,QuickDelivery,106
2026-04,12.975,77.58,NonQuickDelivery,105
2026-04,12.96,77.655,NonQuickDelivery,103
2026-04,12.9,77.595,QuickDelivery,103
2026-04,12.96,77.7,NonQuickDelivery,101
2026-04,12.96,77.595,NonQuickDelivery,98
2026-04,12.99,77.58,NonQuickDelivery,98
2026-04,12.96,77.565,NonQuickDelivery,96
2026-04,12.9,77.67,QuickDelivery,95
2026-04,12.96,77.64,NonQuickDelivery,93
2026-04,13.035,77.565,NonQuickDelivery,93
2026-04,12.945,77.715,NonQuickDelivery,92
2026-04,12.975,77.565,NonQuickDelivery,89
2026-04,12.96,77.535,NonQuickDelivery,87
2026-04,12.93,77.55,NonQuickDelivery,86
2026-04,12.99,77.67,NonQuickDelivery,82
2026-04,12.915,77.595,QuickDelivery,82
2026-04,12.915,77.67,QuickDelivery,81
2026-04,12.945,77.565,NonQuickDelivery,80
2026-04,13.02,77.625,NonQuickDelivery,79
2026-04,13.02,77.64,NonQuickDelivery,78
2026-04,12.93,77.7,QuickDelivery,78
2026-04,12.915,77.55,NonQuickDelivery,78
2026-04,12.975,77.745,NonQuickDelivery,77
2026-04,12.885,77.625,QuickDelivery,76
2026-04,13.02,77.61,NonQuickDelivery,75
2026-04,12.99,77.565,NonQuickDelivery,75
2026-04,12.945,77.595,NonQuickDelivery,72
2026-04,12.93,77.685,QuickDelivery,71
2026-04,12.945,77.55,NonQuickDelivery,71
2026-04,13.02,77.595,NonQuickDelivery,70
2026-04,12.9,77.58,QuickDelivery,69
2026-04,12.885,77.595,QuickDelivery,69
2026-04,13.005,77.625,NonQuickDelivery,69
2026-04,12.975,77.595,NonQuickDelivery,68
2026-04,13.02,77.565,NonQuickDelivery,67
2026-04,12.93,77.58,NonQuickDelivery,67
2026-04,12.975,77.55,NonQuickDelivery,67
2026-04,12.84,77.655,NonQuickDelivery,66
2026-04,12.915,77.685,QuickDelivery,66
