lat,lng,sla_bucket,orders_window,orders_per_day
12.84,77.685,NonQuickDelivery,44,0.489
12.93,77.52,NonQuickDelivery,44,0.489
12.825,77.685,NonQuickDelivery,43,0.478
13.065,77.625,NonQuickDelivery,43,0.478
12.945,77.73,NonQuickDelivery,42,0.467
13.005,77.505,NonQuickDelivery,42,0.467
12.96,77.685,NonQuickDelivery,41,0.456
12.945,77.745,NonQuickDelivery,39,0.433
12.96,77.49,NonQuickDelivery,39,0.433
13.035,77.52,NonQuickDelivery,37,0.411
13.095,77.595,NonQuickDelivery,37,0.411
12.96,77.67,NonQuickDelivery,36,0.4
13.005,77.49,NonQuickDelivery,34,0.378
12.975,77.49,NonQuickDelivery,34,0.378
12.915,77.49,NonQuickDelivery,34,0.378
13.005,77.73,NonQuickDelivery,33,0.367
12.99,77.505,NonQuickDelivery,31,0.344
12.885,77.685,NonQuickDelivery,30,0.333
12.93,77.715,NonQuickDelivery,29,0.322
12.87,77.565,NonQuickDelivery,28,0.311
13.05,77.52,NonQuickDelivery,28,0.311
12.855,77.61,NonQuickDelivery,28,0.311
13.11,77.58,NonQuickDelivery,26,0.289
12.885,77.535,NonQuickDelivery,26,0.289
12.915,77.715,NonQuickDelivery,25,0.278
12.855,77.535,NonQuickDelivery,25,0.278
12.96,77.76,NonQuickDelivery,25,0.278
13.035,77.49,NonQuickDelivery,23,0.256
12.915,77.73,NonQuickDelivery,23,0.256
13.08,77.61,NonQuickDelivery,22,0.244
13.08,77.58,NonQuickDelivery,21,0.233
13.095,77.565,NonQuickDelivery,21,0.233
12.945,77.67,NonQuickDelivery,21,0.233
12.945,77.505,NonQuickDelivery,20,0.222
13.08,77.565,NonQuickDelivery,20,0.222
13.08,77.595,NonQuickDelivery,20,0.222
12.945,77.475,NonQuickDelivery,19,0.211
12.9,77.505,NonQuickDelivery,19,0.211
13.035,77.535,NonQuickDelivery,19,0.211
12.87,77.685,NonQuickDelivery,18,0.2
12.975,77.475,NonQuickDelivery,18,0.2
12.945,77.655,NonQuickDelivery,17,0.189
12.915,77.475,NonQuickDelivery,17,0.189
13.02,77.49,NonQuickDelivery,16,0.178
12.99,77.475,NonQuickDelivery,16,0.178
12.945,77.64,NonQuickDelivery,15,0.167
12.855,77.64,NonQuickDelivery,14,0.156
12.855,77.565,NonQuickDelivery,14,0.156
12.87,77.52,NonQuickDelivery,13,0.144
12.96,77.475,NonQuickDelivery,13,0.144
13.05,77.715,NonQuickDelivery,13,0.144
13.02,77.73,NonQuickDelivery,13,0.144
13.02,77.505,NonQuickDelivery,12,0.133
12.84,77.7,NonQuickDelivery,12,0.133
12.84,77.625,NonQuickDelivery,11,0.122
12.945,77.76,NonQuickDelivery,11,0.122
12.81,77.67,NonQuickDelivery,10,0.111
13.005,77.76,NonQuickDelivery,7,0.078
12.885,77.52,NonQuickDelivery,7,0.078
12.93,77.475,NonQuickDelivery,6,0.067
12.81,77.685,NonQuickDelivery,5,0.056
12.825,77.7,NonQuickDelivery,5,0.056
